School,Zip
University of Michigan-Dearborn,University of Michigan-Dearborn
Pennsylvania State University-Penn State York,Pennsylvania State University-Penn State York
University of Wisconsin-Whitewater,University of Wisconsin-Whitewater
Towson University,Towson University
Ramapo College of New Jersey,Ramapo College of New Jersey
University of California-Merced,University of California-Merced
South Dakota State University,South Dakota State University
College of Charleston,College of Charleston
Slippery Rock University of Pennsylvania,Slippery Rock University of Pennsylvania
Pennsylvania State University-Penn State Altoona,Pennsylvania State University-Penn State Altoona
Arkansas State University-Main Campus,Arkansas State University-Main Campus
University of Louisville,University of Louisville
Illinois State University,Illinois State University
Western Michigan University,Western Michigan University
Western Carolina University,Western Carolina University
Western Washington University,Western Washington University
University of North Florida,University of North Florida
Pittsburg State University,Pittsburg State University
Middle Tennessee State University,Middle Tennessee State University
CUNY City College,CUNY City College
Washington State University,Washington State University
Florida Atlantic University,Florida Atlantic University
University of Washington-Tacoma Campus,University of Washington-Tacoma Campus
CUNY Queens College,CUNY Queens College
University of Nevada-Reno,University of Nevada-Reno
University of Alabama at Birmingham,University of Alabama at Birmingham
SUNY at Albany,SUNY at Albany
University of Memphis,University of Memphis
University of North Dakota,University of North Dakota
California State University-Fullerton,California State University-Fullerton
California State University-Long Beach,California State University-Long Beach
Georgia Southern University,Georgia Southern University
Montana Technological University,Montana Technological University
North Carolina Central University,North Carolina Central University
University of South Dakota,University of South Dakota
Utah State University,Utah State University
Emporia State University,Emporia State University
CUNY Hunter College,CUNY Hunter College
California State Polytechnic University-Pomona,California State Polytechnic University-Pomona
University of Massachusetts-Boston,University of Massachusetts-Boston
Southern Illinois University-Edwardsville,Southern Illinois University-Edwardsville
Rutgers University-Camden,Rutgers University-Camden
CUNY Brooklyn College,CUNY Brooklyn College
Wichita State University,Wichita State University
Boise State University,Boise State University
SUNY Cortland,SUNY Cortland
Kent State University at Kent,Kent State University at Kent
University of Missouri-St Louis,University of Missouri-St Louis
California State University-Chico,California State University-Chico
University of North Carolina at Greensboro,University of North Carolina at Greensboro
University of Central Arkansas,University of Central Arkansas
Central Michigan University,Central Michigan University
University of New Hampshire at Manchester,University of New Hampshire at Manchester
University of Wisconsin-Oshkosh,University of Wisconsin-Oshkosh
The University of West Florida,The University of West Florida
Stockton University,Stockton University
University of Alaska Fairbanks,University of Alaska Fairbanks
SUNY College at Plattsburgh,SUNY College at Plattsburgh
SUNY College of Technology at Delhi,SUNY College of Technology at Delhi
Kansas State University,Kansas State University
University of North Carolina at Asheville,University of North Carolina at Asheville
Old Dominion University,Old Dominion University
University of Missouri-Kansas City,University of Missouri-Kansas City
Longwood University,Longwood University
Wayne State University,Wayne State University
Louisiana Tech University,Louisiana Tech University
Ferris State University,Ferris State University
The University of Tennessee-Martin,The University of Tennessee-Martin
Tennessee Technological University,Tennessee Technological University
Northern Illinois University,Northern Illinois University
West Virginia University,West Virginia University
SUNY College at Oswego,SUNY College at Oswego
Missouri State University-Springfield,Missouri State University-Springfield
University of North Texas,University of North Texas
California State University-Stanislaus,California State University-Stanislaus
Winona State University,Winona State University
Northwest Missouri State University,Northwest Missouri State University
Millersville University of Pennsylvania,Millersville University of Pennsylvania
University of Houston-Clear Lake,University of Houston-Clear Lake
Winston-Salem State University,Winston-Salem State University
SUNY at Purchase College,SUNY at Purchase College
San Jose State University,San Jose State University
Montana State University,Montana State University
University of Toledo,University of Toledo
Frostburg State University,Frostburg State University
Texas State University,Texas State University
University of North Georgia,University of North Georgia
Bowling Green State University-Main Campus,Bowling Green State University-Main Campus
Rowan University,Rowan University
Edinboro University of Pennsylvania,Edinboro University of Pennsylvania
Kutztown University of Pennsylvania,Kutztown University of Pennsylvania
Sam Houston State University,Sam Houston State University
CUNY Lehman College,CUNY Lehman College
The University of Texas Rio Grande Valley,The University of Texas Rio Grande Valley
University of Pittsburgh-Johnstown,University of Pittsburgh-Johnstown
Southeast Missouri State University,Southeast Missouri State University
University of Wisconsin-Milwaukee,University of Wisconsin-Milwaukee
New Mexico State University-Main Campus,New Mexico State University-Main Campus
University of Baltimore,University of Baltimore
Jacksonville State University,Jacksonville State University
Winthrop University,Winthrop University
Morehead State University,Morehead State University
Clarion University of Pennsylvania,Clarion University of Pennsylvania
Eastern Connecticut State University,Eastern Connecticut State University
Southern Illinois University-Carbondale,Southern Illinois University-Carbondale
Florida Gulf Coast University,Florida Gulf Coast University
University of Nebraska at Omaha,University of Nebraska at Omaha
Northern Michigan University,Northern Michigan University
Northern Arizona University,Northern Arizona University
Pennsylvania State University-Penn State Lehigh Valley,Pennsylvania State University-Penn State Lehigh Valley
Eastern Illinois University,Eastern Illinois University
California State University-Fresno,California State University-Fresno
Western Oregon University,Western Oregon University
Southern Utah University,Southern Utah University
California State University-Monterey Bay,California State University-Monterey Bay
University of Central Missouri,University of Central Missouri
Worcester State University,Worcester State University
Minnesota State University-Mankato,Minnesota State University-Mankato
California State University-San Bernardino,California State University-San Bernardino
University of North Alabama,University of North Alabama
University of Massachusetts-Dartmouth,University of Massachusetts-Dartmouth
Portland State University,Portland State University
Saginaw Valley State University,Saginaw Valley State University
University of Louisiana at Lafayette,University of Louisiana at Lafayette
Shippensburg University of Pennsylvania,Shippensburg University of Pennsylvania
University of Southern Mississippi,University of Southern Mississippi
Minnesota State University Moorhead,Minnesota State University Moorhead
Radford University,Radford University
San Francisco State University,San Francisco State University
Morgan State University,Morgan State University
SUNY at Fredonia,SUNY at Fredonia
University of Michigan-Flint,University of Michigan-Flint
The University of Tennessee-Chattanooga,The University of Tennessee-Chattanooga
Eastern Kentucky University,Eastern Kentucky University
Oakland University,Oakland University
Bloomsburg University of Pennsylvania,Bloomsburg University of Pennsylvania
University of Puerto Rico-Mayaguez,University of Puerto Rico-Mayaguez
Sonoma State University,Sonoma State University
Southern Polytechnic State University,Southern Polytechnic State University
Nicholls State University,Nicholls State University
California State University-Channel Islands,California State University-Channel Islands
University of North Carolina at Pembroke,University of North Carolina at Pembroke
University of Wisconsin-Stout,University of Wisconsin-Stout
University of Arkansas at Little Rock,University of Arkansas at Little Rock
University of New Mexico-Main Campus,University of New Mexico-Main Campus
East Tennessee State University,East Tennessee State University
SUNY College at Brockport,SUNY College at Brockport
Montclair State University,Montclair State University
University of Northern Colorado,University of Northern Colorado
University of Nevada-Las Vegas,University of Nevada-Las Vegas
The University of Montana,The University of Montana
California State University-Sacramento,California State University-Sacramento
Pennsylvania State University-Penn State Abington,Pennsylvania State University-Penn State Abington
Bemidji State University,Bemidji State University
University of South Alabama,University of South Alabama
California State University-Bakersfield,California State University-Bakersfield
Western Kentucky University,Western Kentucky University
CUNY John Jay College of Criminal Justice,CUNY John Jay College of Criminal Justice
Stephen F Austin State University,Stephen F Austin State University
Eastern Michigan University,Eastern Michigan University
California State University-Northridge,California State University-Northridge
Farmingdale State College,Farmingdale State College
The University of Texas at Arlington,The University of Texas at Arlington
Southeastern Louisiana University,Southeastern Louisiana University
Pennsylvania State University-Penn State DuBois,Pennsylvania State University-Penn State DuBois
The University of Texas at San Antonio,The University of Texas at San Antonio
Marshall University,Marshall University
Central Connecticut State University,Central Connecticut State University
University of Southern Indiana,University of Southern Indiana
Dickinson State University,Dickinson State University
Saint Cloud State University,Saint Cloud State University
Georgia Highlands College,Georgia Highlands College
The University of Texas at El Paso,The University of Texas at El Paso
North Carolina A & T State University,North Carolina A & T State University
Kennesaw State University,Kennesaw State University
University of New Orleans,University of New Orleans
Western Illinois University,Western Illinois University
SUNY College at Old Westbury,SUNY College at Old Westbury
California State University-Los Angeles,California State University-Los Angeles
Columbus State University,Columbus State University
SUNY College of Technology at Canton,SUNY College of Technology at Canton
University of Louisiana at Monroe,University of Louisiana at Monroe
Indiana University of Pennsylvania-Main Campus,Indiana University of Pennsylvania-Main Campus
University of Wisconsin-Green Bay,University of Wisconsin-Green Bay
Bridgewater State University,Bridgewater State University
Fitchburg State University,Fitchburg State University
Eastern Washington University,Eastern Washington University
Delaware State University,Delaware State University
Clayton  State University,Clayton  State University
Dakota State University,Dakota State University
California University of Pennsylvania,California University of Pennsylvania
Texas Woman's University,Texas Woman's University
Youngstown State University,Youngstown State University
Pennsylvania College of Technology,Pennsylvania College of Technology
Alcorn State University,Alcorn State University
Troy University,Troy University
College of Staten Island CUNY,College of Staten Island CUNY
California State University-Dominguez Hills,California State University-Dominguez Hills
Salem State University,Salem State University
University of Arkansas at Pine Bluff,University of Arkansas at Pine Bluff
Coastal Carolina University,Coastal Carolina University
Keene State College,Keene State College
Prairie View A & M University,Prairie View A & M University
Cleveland State University,Cleveland State University
California State University-East Bay,California State University-East Bay
Lock Haven University,Lock Haven University
Westfield State University,Westfield State University
Grambling State University,Grambling State University
Rhode Island College,Rhode Island College
University of Hawaii at Hilo,University of Hawaii at Hilo
University of West Georgia,University of West Georgia
Texas A & M International University,Texas A & M International University
University of Akron Main Campus,University of Akron Main Campus
Fayetteville State University,Fayetteville State University
SUNY College of Technology at Alfred,SUNY College of Technology at Alfred
Minot State University,Minot State University
Southern Connecticut State University,Southern Connecticut State University
Delta State University,Delta State University
Lamar University,Lamar University
Central Washington University,Central Washington University
West Texas A & M University,West Texas A & M University
California State University-San Marcos,California State University-San Marcos
University of Colorado Colorado Springs,University of Colorado Colorado Springs
Norfolk State University,Norfolk State University
Eastern Oregon University,Eastern Oregon University
Southwestern Oklahoma State University,Southwestern Oklahoma State University
Francis Marion University,Francis Marion University
Northwestern State University of Louisiana,Northwestern State University of Louisiana
Mansfield University of Pennsylvania,Mansfield University of Pennsylvania
SUNY College at Potsdam,SUNY College at Potsdam
Framingham State University,Framingham State University
University of Colorado Denver/Anschutz Medical Campus,University of Colorado Denver/Anschutz Medical Campus
