Address,Status,Price,Bed,Bath,Sqft
"5941 Shasta Ave, Dunsmuir, CA 96025",For Sale,249900,4,2,"1,321"
"3228 Palmer St, Sacramento, CA 95815",For Sale,249900,2,1,950
"32860 Rd 156, Ivanhoe, CA 93235",For Sale,249900,2,2,"1,114"
"1015 E Cornell Ave, Fresno, CA 93704",For Sale,249900,2,1,"1,000"
"1736 Milo Ave, Redding, CA 96001",For Sale,249900,3,1,989
"497 Thurman Ave E, Porterville, CA 93257",Pending,249900,3,2,"1,548"
"2605 Nevada Ave, Oroville, CA 95966",For Sale,249900,2,1,"1,230"
"14222 Winchester Dr, Mojave, CA 93501",For Sale,249900,3,2,"1,120"
"4111 Kensington Way, Lucerne, CA 95458",For Sale,249900,2,5,"1,056"
"431 Rose Ave N, Farmersville, CA 93223",For Sale,249900,3,2,"1,333"
"624 McClean Ave, Bakersfield, CA 93307",For Sale,249900,2,1,753
"1236 12th St, Reedley, CA 93654",For Sale,249900,2,1,936
"2605 Ensenada Way, Sacramento, CA 95815",For Sale,249990,2,1,"1,034"
"2545 Sea Way, Thermal, CA 92274",For Sale,249998,3,2,"1,512"
"4657 E Eugenia Ave, Fresno, CA 93725",For Sale,249999,3,2,"1,064"
"1240 N K St, San Bernardino, CA 92411",Pending,249999,2,1,831
"20925 Georgetown St, California City, CA 93505",For Sale,249999,3,2,"1,301"
"1210 Palm Ave, Wasco, CA 93280",For Sale,249999,3,2,"1,221"
"2826 E Madison Ave, Fresno, CA 93701",For Sale,250000,3,5,"1,066"
"8413 Greenwood Ave, California City, CA 93505",For Sale,250000,3,2,"1,327"
"23375 Avenue 196, Strathmore, CA 93267",Pending,250000,3,1,"1,254"
"1020 Clark St, Madera, CA 93638",For Sale,250000,5,3,"1,456"
"12511 W A St, Biola, CA 93606",For Sale,250000,3,1,"1,026"
"17145 Skyway, Stirling City, CA 95978",For Sale,250000,2,1,"1,270"
"4898 Morales St, New Cuyama, CA 93254",For Sale,250000,3,1,"1,064"
"1745 E 22nd St, Merced, CA 95340",For Sale,250000,3,2,"1,091"
"721 Stevens Ave, Barstow, CA 92311",For Sale,250000,3,2,"1,144"
"4636 E Terrace Ave, Fresno, CA 93703",For Sale,250000,3,1,902
"212 E Gillett St, El Centro, CA 92243",For Sale,250000,3,2,"1,995"
"1436 3rd St, Red Bluff, CA 96080",For Sale,250000,2,1,972
"1117 E Elizabeth St, Barstow, CA 92311",For Sale,250000,3,2,996
"211 W 2nd St, Hanford, CA 93230",For Sale,250000,3,1,960
"209 9th St, Crescent City, CA 95531",For Sale,250000,2,2,921
"7561 Saladin Ave, Twentynine Palms, CA 92277",Contingent,250000,1,1,592
"6717 Gretchen Ct, Bakersfield, CA 93307",Contingent,250000,3,2,"6,534"
"51062 Donner Pass Rd, Soda Springs, CA 95728",For Sale,250000,3,5,"1,296"
"6516 Tiburon St, Bakersfield, CA 93307",Foreclosure,250000,3,2,"1,161"
"1318 Washington Ave, Bakersfield, CA 93308",For Sale,250000,3,2,"1,224"
"820 W Ward Ave, Ridgecrest, CA 93555",Pending,250000,3,2,"1,423"
"1027 W Laurel St, Willows, CA 95988",For Sale,250000,3,1,960
"1243 Levee St, Colusa, CA 95932",For Sale,250000,2,1,942
"455 Vista St S, Tulare, CA 93274",Pending,250000,3,5,"1,125"
"1126 N Mono Ct, Ridgecrest, CA 93555",For Sale,250000,4,2,"1,451"
"153 Wakefield Dr, Oroville, CA 95966",For Sale,250000,3,2,"1,560"
"339 Bayberry Way, Gridley, CA 95948",For Sale,250000,2,1,"1,218"
"1024 Shoshone Valley Rd, Twentynine Palms, CA 92277",For Sale,39900,o,o,dio192
"652-745 Highway 299 E, Nubieber, CA 96068",For Sale,49000,3,1,"1,212"
"297 Siskiyou St, Tulelake, CA 96134",For Sale,65000,2,1,927
"7460 N Intake Blvd, Blythe, CA 92225",For Sale,69000,3,1,"1,134"
"329 Asher Ave, Taft, CA 93268",For Sale,70000,1,1,720
"34080 Ord St, Newberry Springs, CA 92365",For Sale,70000,2,2,842
"17022 Stagecoach, Corning, CA 96021",For Sale,73000,2,5,500
"211 Water St, Fort Bidwell, CA 96112",For Sale,75000,3,1,"1,075"
"404 D St, Needles, CA 92363",For Sale,85000,3,2,"1,883"
"4860 E Lane Ave Unit 205, Fresno, CA 93727",For Sale,88000,1,1,772
"1596 Calle Michoacan , CA 22707",For Sale,89000,3,3,950
"328 E Madera St, Avenal, CA 93204",Pending,90000,2,1,790
"1900 Gable Ave, Corcoran, CA 93212",For Sale,90000,3,1,"1,032"
"5 Calle 9-04 Z 1 Mu De La Esperanza Quet Guatemala , CA",For Sale,90000,3,5,"1,185"
"42 S Fork Trl, Angelus Oaks, CA 92305",For Sale,95000,2,1,680
"5555 Oleta Rd, Johnson Valley, CA 92285",For Sale,99000,o,o,dio480
"305 Buena Vista St, Taft, CA 93268",For Sale,99000,2,1,"1,123"
"604 Payne Dr, Richmond, CA 94806",For Sale,99000,3,1,974
"14180 Woodland Dr, Clearlake, CA 95422",For Sale,99900,3,1,720
"499 Pachecounty Rd Unit 173, Bakersfield, CA 93307",For Sale,99950,2,2,"1,248"
"7609 Acoma Trl, Yucca Valley, CA 92284",For Sale,99999,2,1,843
"48423 Thoreau Rd, Newberry Springs, CA 92365",For Sale,99999,2,2,924
