Address,Status,Price,Bed,Bath,Sqft
"320 N Willow St, Blythe, CA 92225",For Sale,172999,3,2,"1,132"
"1210 36th St, Bakersfield, CA 93301",For Sale,174500,2,1,768
"10767 Beverly Dr, Hanford, CA 93230",Pending,174500,3,5,"1,174"
"66 Dossi Way, Sonora, CA 95370",For Sale,174900,2,5,"1,020"
"1013 E Kennedy St, Madera, CA 93638",For Sale,175000,3,1,834
"121 Center St, Hayfork, CA 96041",For Sale,175000,3,1,"1,000"
"323 W 4th St Apt 103, Long Beach, CA 90802",For Sale,175000,f,1,355
"4215 Victor Ave W, Visalia, CA 93277",Pending,175000,3,2,"1,236"
"11317 Rose St, Lamont, CA 93241",For Sale,175000,2,1,720
"3471 Pipeline Rd, Wrightwood, CA 92397",For Sale,175000,f,1,510
"804 Nevada St, Susanville, CA 96130",For Sale,175000,2,1,"1,128"
"7857 Cone Ave, Los Molinos, CA 96055",Contingent,175000,2,1,757
"2409 Center St, Bakersfield, CA 93306",For Sale,175000,2,1,790
"1213 Heber St Unit 1, Jacumba, CA 91934",Coming Soon,175000,2,2,"1,456"
"2320 Pictoria Dr, Bakersfield, CA 93306",Foreclosure,175000,3,1,"1,095"
"6358 E Latonia Ave, Laton, CA 93242",For Sale,175000,2,5,"1,466"
"83128 Ruby Ave, Indio, CA 92201",Foreclosure,176500,3,1,988
"347 Mulberry Ave W, Porterville, CA 93257",For Sale,177000,3,1,"1,284"
"1305 Humboldt Ave, Chowchilla, CA 93610",For Sale,178000,1,1,480
"44626 Fig Ave, Lancaster, CA 93534",For Sale,179000,2,1,"1,025"
"1625 Adrian St, Bakersfield, CA 93308",Foreclosure,179000,3,1,943
"4728 Western Ave, Olivehurst, CA 95961",For Sale,179000,1,1,586
"3466 Charles St, Cottonwood, CA 96022",For Sale,179900,2,1,"1,032"
"1200 W 11th St, Alturas, CA 96101",For Sale,179950,3,1,"1,406"
"1905 E Tyler Ave, Fresno, CA 93701",For Sale,179999,2,1,888
"16452 Ave 166, Tulare, CA 93274",For Sale,180000,5,5,"1,341"
"174 Thompson Rd N, Tipton, CA 93272",Pending,180000,2,1,778
"8824 Catalpa Ave, California City, CA 93505",For Sale,180000,3,5,"1,100"
"4690 Morales St, New Cuyama, CA 93254",For Sale,180000,3,1,"9,583"
"251 N 2nd St, Blythe, CA 92225",For Sale,180000,3,1,"1,164"
"445 Lincoln Ave W, Earlimart, CA 93219",Pending,180000,2,1,840
"35208 Walnut St, Barstow, CA 92311",For Sale,180000,3,1,950
"20519 Muskegon St, Burney, CA 96013",For Sale,181000,3,5,"1,160"
"433 Philippine St, Taft, CA 93268",For Sale,184000,2,1,"1,052"
"501 Tyler St, Taft, CA 93268",For Sale,185000,3,5,"1,436"
"190 Camino Ave, Weed, CA 96094",For Sale,185000,3,2,"1,354"
"4N01Y Par A Sec 32, Twain Harte, CA 95383",For Sale,185000,1,1,480
"4505 E Grant Ave, Fresno, CA 93702",For Sale,185000,2,1,928
"913 E Shasta St, Avenal, CA 93204",For Sale,185000,3,2,"1,116"
"137 S King St, Bakersfield, CA 93307",For Sale,185000,1,1,480
"3319 Lake St, Bakersfield, CA 93306",For Sale,185000,2,1,864
"2 Lodge Dock Slip 12, Lake Arrowhead, CA 92352",For Sale,189000,i,i,
"1018 E Cleveland Ave, Madera, CA 93638",For Sale,189000,2,1,488
"340 N Fairfield Ave, Susanville, CA 96130",Pending,189000,2,1,924
"1275 W Johnston Ave, Hemet, CA 92543",For Sale,189000,2,2,"1,512"
"2312 Gage St, Bakersfield, CA 93305",For Sale,189000,3,1,"6,098"
"480 N 9th St, Blythe, CA 92225",For Sale,189900,4,2,"1,691"
"204 Decatur St, Bakersfield, CA 93308",For Sale,189900,1,1,448
"9049 Grapewood Ave, California City, CA 93505",Pending,189900,3,2,"1,445"
"217 E Virginia Way, Barstow, CA 92311",For Sale,190000,3,1,"1,272"
"19142 Private Ln, Oro Grande, CA 92368",For Sale,190000,3,2,"1,722"
"43306 Oak Dr, Posey, CA 93260",For Sale,190000,3,5,"1,332"
"3602 L St, Bakersfield, CA 93301",For Sale,190000,2,1,672
"5 Split Mountain Way, Wofford Heights, CA 93285",For Sale,192000,2,5,864
"15632 Seville Ave, Visalia, CA 93292",For Sale,194900,3,1,960
"13190 Baker Rd, Santa Margarita, CA 93453",For Sale,195000,2,1,672
"1721 Dairy Ave, Corcoran, CA 93212",For Sale,195000,3,5,"1,008"
"604 Loch Lomond Dr, Bakersfield, CA 93304",For Sale,196000,3,1,"1,094"
,For Sale,198000,3,1,"1,230"
"2738 Yard St, Oroville, CA 95966",For Sale,198500,3,1,"1,225"
"1405 E Cortland Ave, Fresno, CA 93704",For Sale,198999,2,1,784
"909 North St, Susanville, CA 96130",For Sale,199000,2,1,"1,152"
"1133 Curved Bridge Rd, Rio Linda, CA 95673",Pending,199000,1,1,920
"218 Maiden Ln, Crescent City, CA 95531",For Sale,199000,2,1,806
