School,Zip
The University of Texas at El Paso,"['', '79968']"
Kennesaw State University,"['', '30144']"
University of New Orleans,"['', '70126']"
Western Illinois University,"['', '61455']"
SUNY College at Old Westbury,"['', '11568']"
California State University-Los Angeles,"['', '90032']"
SUNY College of Technology at Canton,"['', '13617']"
Bridgewater State University,"['', '02325']"
Fitchburg State University,"['', '01420']"
Eastern Washington University,"['', '99004']"
Delaware State University,"['', '19901']"
California University of Pennsylvania,"['', '15419']"
Texas Woman's University,"['', '29300', '57611']"
Youngstown State University,"['', '11000']"
Pennsylvania College of Technology,"['', '16901']"
Alcorn State University,"['', '39096']"
Troy University,"['', '36082']"
California State University-Dominguez Hills,"['', '90747']"
Coastal Carolina University,"['', '14427']"
Cleveland State University,"['', '44115']"
California State University-East Bay,"['', '25800']"
Westfield State University,"['', '01085']"
University of West Georgia,"['', '30118']"
SUNY College of Technology at Alfred,"['', '14802']"
Norfolk State University,"['', '23504']"
Francis Marion University,"['', '19516']"
Northwestern State University of Louisiana,"['', '71497']"
Mansfield University of Pennsylvania,"['', '16933']"
SUNY College at Potsdam,"['', '13676', '13654']"
University of Colorado Denver/Anschutz Medical Campus,"['', '12454', '13001', '80045']"
The University of Texas at Tyler,"['', '75799']"
Purdue University-Calumet Campus,"['', '46323']"
McNeese State University,"['', '70609', '91740']"
Chicago State University,"['', '60628']"
Lewis-Clark State College,"['', '83501']"
Auburn University at Montgomery,"['', '36117']"
New Jersey City University,"['', '07305']"
University of Southern Maine,"['', '04038']"
Valdosta State University,"['', '31698']"
Virginia State University,"['', '23806']"
University of Maryland Eastern Shore,"['', '30665', '21853']"
Tarleton State University,"['', '10850', '76036', '76065']"
Mississippi Valley State University,"['', '14000', '38941']"
Northeastern State University,"['', '74014']"
Armstrong State University,"['', '26000', '11935', '31419']"
Southern Oregon University,"['', '97520']"
Shepherd University,"['', '25443']"
William Paterson University of New Jersey,"['', '07470']"
Bowie State University,"['', '14000', '21202']"
Abraham Baldwin Agricultural College,"['', '31793']"
Augusta State University,"['', '30906', '30813']"
